"Plot Title: 10604268"
"#","Date Time, GMT-04:00","Temp, °F (LGR S/N: 10604268, SEN S/N: 10604268, LBL: byrneslab_GOM2017)","Coupler Attached (LGR S/N: 10604268)","Host Connected (LGR S/N: 10604268)","Stopped (LGR S/N: 10604268)","End Of File (LGR S/N: 10604268)"
1,08/14/17 01:15:00 PM,85.014,,,,
2,08/14/17 01:45:00 PM,83.757,,,,
3,08/14/17 02:15:00 PM,81.975,,,,
4,08/14/17 02:45:00 PM,80.029,,,,
5,08/14/17 03:15:00 PM,78.975,,,,
6,08/14/17 03:45:00 PM,76.876,,,,
7,08/14/17 04:15:00 PM,78.449,,,,
8,08/14/17 04:45:00 PM,78.449,,,,
9,08/14/17 05:15:00 PM,78.098,,,,
10,08/14/17 05:45:00 PM,77.050,,,,
11,08/14/17 06:15:00 PM,76.703,,,,
12,08/14/17 06:45:00 PM,76.181,,,,
13,08/14/17 07:15:00 PM,75.832,,,,
14,08/14/17 07:45:00 PM,75.484,,,,
15,08/14/17 08:15:00 PM,75.139,,,,
16,08/14/17 08:45:00 PM,74.791,,,,
17,08/14/17 09:15:00 PM,74.271,,,,
18,08/14/17 09:45:00 PM,74.098,,,,
19,08/14/17 10:15:00 PM,73.753,,,,
20,08/14/17 10:45:00 PM,73.062,,,,
21,08/14/17 11:15:00 PM,72.545,,,,
22,08/14/17 11:45:00 PM,72.028,,,,
23,08/15/17 12:15:00 AM,71.683,,,,
24,08/15/17 12:45:00 AM,71.339,,,,
25,08/15/17 01:15:00 AM,70.995,,,,
26,08/15/17 01:45:00 AM,70.824,,,,
27,08/15/17 02:15:00 AM,70.480,,,,
28,08/15/17 02:45:00 AM,70.137,,,,
29,08/15/17 03:15:00 AM,69.964,,,,
30,08/15/17 03:45:00 AM,69.793,,,,
31,08/15/17 04:15:00 AM,69.622,,,,
32,08/15/17 04:45:00 AM,69.449,,,,
33,08/15/17 05:15:00 AM,69.278,,,,
34,08/15/17 05:45:00 AM,69.107,,,,
35,08/15/17 06:15:00 AM,69.107,,,,
36,08/15/17 06:45:00 AM,69.107,,,,
37,08/15/17 07:15:00 AM,68.934,,,,
38,08/15/17 07:45:00 AM,68.934,,,,
39,08/15/17 08:15:00 AM,68.934,,,,
40,08/15/17 08:45:00 AM,68.763,,,,
41,08/15/17 09:15:00 AM,68.763,,,,
42,08/15/17 09:45:00 AM,68.592,,,,
43,08/15/17 10:15:00 AM,68.592,,,,
44,08/15/17 10:45:00 AM,68.763,,,,
45,08/15/17 11:15:00 AM,69.107,,,,
46,08/15/17 11:45:00 AM,69.278,,,,
47,08/15/17 12:15:00 PM,69.449,,,,
48,08/15/17 12:45:00 PM,69.793,,,,
49,08/15/17 01:15:00 PM,69.964,,,,
50,08/15/17 01:45:00 PM,70.308,,,,
