"Plot Title: 10442664"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10442664, SEN S/N: 10442664)","Bad Battery (LGR S/N: 10442664)","Coupler Attached (LGR S/N: 10442664)","Host Connected (LGR S/N: 10442664)","Coupler Detached (LGR S/N: 10442664)","Stopped (LGR S/N: 10442664)","End Of File (LGR S/N: 10442664)"
1,08/26/18 02:00:00 PM,23.100,,,,,,
2,08/26/18 02:30:00 PM,23.292,,,,,,
3,08/26/18 03:00:00 PM,23.484,,,,,,
4,08/26/18 03:30:00 PM,23.581,,,,,,
5,08/26/18 04:00:00 PM,23.677,,,,,,
6,08/26/18 04:30:00 PM,23.773,,,,,,
7,08/26/18 05:00:00 PM,22.525,,,,,,
8,08/26/18 05:30:00 PM,20.901,,,,,,
9,08/26/18 06:00:00 PM,20.901,,,,,,
10,08/26/18 06:30:00 PM,21.473,,,,,,
11,08/26/18 07:00:00 PM,21.855,,,,,,
12,08/26/18 07:30:00 PM,22.333,,,,,,
13,08/26/18 08:00:00 PM,23.388,,,,,,
14,08/26/18 08:30:00 PM,23.004,,,,,,
15,08/26/18 09:00:00 PM,22.525,,,,,,
16,08/26/18 09:30:00 PM,22.046,,,,,,
17,08/26/18 10:00:00 PM,22.046,,,,,,
18,08/26/18 10:30:00 PM,22.142,,,,,,
19,08/26/18 11:00:00 PM,22.333,,,,,,
20,08/26/18 11:30:00 PM,22.429,,,,,,
21,08/27/18 12:00:00 AM,22.525,,,,,,
22,08/27/18 12:30:00 AM,22.525,,,,,,
23,08/27/18 01:00:00 AM,22.525,,,,,,
24,08/27/18 01:30:00 AM,22.621,,,,,,
25,08/27/18 02:00:00 AM,22.525,,,,,,
26,08/27/18 02:30:00 AM,22.238,,,,,,
27,08/27/18 03:00:00 AM,22.046,,,,,,
28,08/27/18 03:30:00 AM,22.046,,,,,,
29,08/27/18 04:00:00 AM,21.951,,,,,,
30,08/27/18 04:30:00 AM,21.951,,,,,,
31,08/27/18 05:00:00 AM,21.951,,,,,,
32,08/27/18 05:30:00 AM,21.951,,,,,,
33,08/27/18 06:00:00 AM,21.951,,,,,,
34,08/27/18 06:30:00 AM,21.951,,,,,,
35,08/27/18 07:00:00 AM,21.951,,,,,,
36,08/27/18 07:30:00 AM,21.951,,,,,,
37,08/27/18 08:00:00 AM,21.664,,,,,,
38,08/27/18 08:30:00 AM,21.282,,,,,,
39,08/27/18 09:00:00 AM,21.091,,,,,,
40,08/27/18 09:30:00 AM,21.378,,,,,,
41,08/27/18 10:00:00 AM,21.664,,,,,,
42,08/27/18 10:30:00 AM,22.717,,,,,,
43,08/27/18 11:00:00 AM,26.683,,,,,,
44,08/27/18 11:30:00 AM,31.268,,,,,,
45,08/27/18 12:00:00 PM,28.159,,,,,,
46,08/27/18 12:30:00 PM,29.252,,,,,,
47,08/27/18 01:00:00 PM,32.086,,,,,,
48,08/27/18 01:30:00 PM,30.558,,,,,,
49,08/27/18 02:00:00 PM,19.948,,,,,,
50,08/27/18 02:30:00 PM,18.236,,,,,,
51,08/27/18 03:00:00 PM,18.236,,,,,,
52,08/27/18 03:30:00 PM,19.662,,,,,,
53,08/27/18 04:00:00 PM,19.567,,,,,,
54,08/27/18 04:30:00 PM,18.901,,,,,,
55,08/27/18 05:00:00 PM,18.426,,,,,,
56,08/27/18 05:30:00 PM,17.855,,,,,,
57,08/27/18 06:00:00 PM,18.426,,,,,,
58,08/27/18 06:30:00 PM,17.760,,,,,,
59,08/27/18 07:00:00 PM,17.760,,,,,,
60,08/27/18 07:30:00 PM,17.475,,,,,,
61,08/27/18 08:00:00 PM,17.379,,,,,,
62,08/27/18 08:30:00 PM,17.284,,,,,,
63,08/27/18 09:00:00 PM,17.284,,,,,,
64,08/27/18 09:30:00 PM,17.094,,,,,,
65,08/27/18 10:00:00 PM,16.903,,,,,,
66,08/27/18 10:30:00 PM,18.616,,,,,,
67,08/27/18 11:00:00 PM,19.282,,,,,,
68,08/27/18 11:30:00 PM,19.282,,,,,,
69,08/28/18 12:00:00 AM,19.567,,,,,,
70,08/28/18 12:30:00 AM,19.853,,,,,,
71,08/28/18 01:00:00 AM,20.424,,,,,,
72,08/28/18 01:30:00 AM,20.234,,,,,,
73,08/28/18 02:00:00 AM,19.758,,,,,,
74,08/28/18 02:30:00 AM,18.521,,,,,,
75,08/28/18 03:00:00 AM,17.760,,,,,,
76,08/28/18 03:30:00 AM,16.618,,,,,,
77,08/28/18 04:00:00 AM,15.664,,,,,,
78,08/28/18 04:30:00 AM,15.855,,,,,,
79,08/28/18 05:00:00 AM,15.473,,,,,,
80,08/28/18 05:30:00 AM,15.473,,,,,,
81,08/28/18 06:00:00 AM,15.091,,,,,,
82,08/28/18 06:30:00 AM,16.903,,,,,,
83,08/28/18 07:00:00 AM,17.665,,,,,,
84,08/28/18 07:30:00 AM,17.379,,,,,,
85,08/28/18 08:00:00 AM,17.665,,,,,,
86,08/28/18 08:30:00 AM,17.950,,,,,,
87,08/28/18 09:00:00 AM,17.760,,,,,,
88,08/28/18 09:30:00 AM,17.379,,,,,,
89,08/28/18 10:00:00 AM,17.760,,,,,,
90,08/28/18 10:30:00 AM,17.760,,,,,,
91,08/28/18 11:00:00 AM,17.379,,,,,,
92,08/28/18 11:30:00 AM,18.331,,,,,,
93,08/28/18 12:00:00 PM,19.282,,,,,,
94,08/28/18 12:30:00 PM,17.950,,,,,,
95,08/28/18 01:00:00 PM,19.377,,,,,,
96,08/28/18 01:30:00 PM,20.424,,,,,,
97,08/28/18 02:00:00 PM,20.234,,,,,,
98,08/28/18 02:30:00 PM,19.567,,,,,,
99,08/28/18 03:00:00 PM,18.616,,,,,,
100,08/28/18 03:30:00 PM,17.950,,,,,,
101,08/28/18 04:00:00 PM,18.616,,,,,,
102,08/28/18 04:30:00 PM,19.187,,,,,,
103,08/28/18 05:00:00 PM,19.092,,,,,,
104,08/28/18 05:30:00 PM,18.426,,,,,,
105,08/28/18 06:00:00 PM,18.045,,,,,,
106,08/28/18 06:30:00 PM,17.094,,,,,,
107,08/28/18 07:00:00 PM,17.855,,,,,,
108,08/28/18 07:30:00 PM,17.665,,,,,,
109,08/28/18 08:00:00 PM,20.043,,,,,,
110,08/28/18 08:30:00 PM,18.521,,,,,,
111,08/28/18 09:00:00 PM,18.045,,,,,,
112,08/28/18 09:30:00 PM,17.570,,,,,,
113,08/28/18 10:00:00 PM,16.427,,,,,,
114,08/28/18 10:30:00 PM,16.808,,,,,,
115,08/28/18 11:00:00 PM,18.996,,,,,,
116,08/28/18 11:30:00 PM,17.855,,,,,,
117,08/29/18 12:00:00 AM,16.427,,,,,,
118,08/29/18 12:30:00 AM,16.427,,,,,,
119,08/29/18 01:00:00 AM,16.808,,,,,,
120,08/29/18 01:30:00 AM,16.808,,,,,,
121,08/29/18 02:00:00 AM,17.189,,,,,,
122,08/29/18 02:30:00 AM,17.094,,,,,,
123,08/29/18 03:00:00 AM,16.808,,,,,,
124,08/29/18 03:30:00 AM,16.903,,,,,,
125,08/29/18 04:00:00 AM,16.999,,,,,,
126,08/29/18 04:30:00 AM,16.808,,,,,,
127,08/29/18 05:00:00 AM,17.475,,,,,,
128,08/29/18 05:30:00 AM,17.760,,,,,,
129,08/29/18 06:00:00 AM,17.950,,,,,,
130,08/29/18 06:30:00 AM,18.140,,,,,,
131,08/29/18 07:00:00 AM,17.760,,,,,,
132,08/29/18 07:30:00 AM,17.760,,,,,,
133,08/29/18 08:00:00 AM,17.760,,,,,,
134,08/29/18 08:30:00 AM,18.045,,,,,,
135,08/29/18 09:00:00 AM,17.760,,,,,,
136,08/29/18 09:30:00 AM,17.475,,,,,,
137,08/29/18 10:00:00 AM,17.379,,,,,,
138,08/29/18 10:30:00 AM,17.570,,,,,,
139,08/29/18 11:00:00 AM,17.950,,,,,,
140,08/29/18 11:30:00 AM,17.665,,,,,,
141,08/29/18 12:00:00 PM,16.713,,,,,,
142,08/29/18 12:30:00 PM,17.855,,,,,,
143,08/29/18 01:00:00 PM,17.570,,,,,,
144,08/29/18 01:30:00 PM,17.950,,,,,,
145,08/29/18 02:00:00 PM,18.711,,,,,,
146,08/29/18 02:30:00 PM,18.996,,,,,,
147,08/29/18 03:00:00 PM,18.806,,,,,,
148,08/29/18 03:30:00 PM,17.094,,,,,,
149,08/29/18 04:00:00 PM,17.475,,,,,,
150,08/29/18 04:30:00 PM,17.665,,,,,,
151,08/29/18 05:00:00 PM,16.808,,,,,,
152,08/29/18 05:30:00 PM,16.141,,,,,,
153,08/29/18 06:00:00 PM,16.141,,,,,,
