"Plot Title: SML2018-270"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10604270, SEN S/N: 10604270, LBL: byrneslab_GOM2017)","End Of File (LGR S/N: 10604270)"
1,08/29/18 02:00:00 PM,32.911,
2,08/29/18 02:30:00 PM,35.542,
3,08/29/18 03:00:00 PM,27.567,
4,08/29/18 03:30:00 PM,17.760,
5,08/29/18 04:00:00 PM,18.806,
6,08/29/18 04:30:00 PM,17.475,
7,08/29/18 05:00:00 PM,17.570,
8,08/29/18 05:30:00 PM,17.379,
9,08/29/18 06:00:00 PM,17.570,
10,08/29/18 06:30:00 PM,17.950,
11,08/29/18 07:00:00 PM,17.855,
12,08/29/18 07:30:00 PM,18.140,
13,08/29/18 08:00:00 PM,18.331,
14,08/29/18 08:30:00 PM,18.521,
15,08/29/18 09:00:00 PM,20.043,
16,08/29/18 09:30:00 PM,19.853,
17,08/29/18 10:00:00 PM,20.329,
18,08/29/18 10:30:00 PM,20.424,
19,08/29/18 11:00:00 PM,20.424,
20,08/29/18 11:30:00 PM,19.282,
21,08/30/18 12:00:00 AM,17.950,
22,08/30/18 12:30:00 AM,17.760,
23,08/30/18 01:00:00 AM,17.570,
24,08/30/18 01:30:00 AM,17.379,
25,08/30/18 02:00:00 AM,17.665,
26,08/30/18 02:30:00 AM,16.903,
27,08/30/18 03:00:00 AM,17.189,
28,08/30/18 03:30:00 AM,16.808,
29,08/30/18 04:00:00 AM,16.618,
30,08/30/18 04:30:00 AM,16.427,
31,08/30/18 05:00:00 AM,16.808,
32,08/30/18 05:30:00 AM,17.094,
33,08/30/18 06:00:00 AM,17.094,
34,08/30/18 06:30:00 AM,17.094,
35,08/30/18 07:00:00 AM,17.094,
36,08/30/18 07:30:00 AM,16.999,
37,08/30/18 08:00:00 AM,17.284,
38,08/30/18 08:30:00 AM,16.903,
39,08/30/18 09:00:00 AM,16.903,
40,08/30/18 09:30:00 AM,16.237,
41,08/30/18 10:00:00 AM,16.332,
42,08/30/18 10:30:00 AM,16.332,
43,08/30/18 11:00:00 AM,16.523,
44,08/30/18 11:30:00 AM,16.618,
45,08/30/18 12:00:00 PM,16.237,
46,08/30/18 12:30:00 PM,17.950,
47,08/30/18 01:00:00 PM,18.236,
48,08/30/18 01:30:00 PM,18.521,
49,08/30/18 02:00:00 PM,18.140,
50,08/30/18 02:30:00 PM,18.045,
51,08/30/18 03:00:00 PM,18.806,
52,08/30/18 03:30:00 PM,18.331,
53,08/30/18 04:00:00 PM,17.950,
54,08/30/18 04:30:00 PM,17.570,
55,08/30/18 05:00:00 PM,17.855,
56,08/30/18 05:30:00 PM,17.760,
57,08/30/18 06:00:00 PM,17.284,
58,08/30/18 06:30:00 PM,17.189,
59,08/30/18 07:00:00 PM,17.475,
60,08/30/18 07:30:00 PM,16.999,
61,08/30/18 08:00:00 PM,17.094,
62,08/30/18 08:30:00 PM,17.189,
63,08/30/18 09:00:00 PM,17.284,
64,08/30/18 09:30:00 PM,16.713,
65,08/30/18 10:00:00 PM,17.189,
66,08/30/18 10:30:00 PM,17.094,
67,08/30/18 11:00:00 PM,16.808,
68,08/30/18 11:30:00 PM,17.760,
69,08/31/18 12:00:00 AM,18.236,
70,08/31/18 12:30:00 AM,18.426,
71,08/31/18 01:00:00 AM,18.236,
72,08/31/18 01:30:00 AM,17.855,
