"Plot Title: 10372220"
"#","Date Time, GMT-04:00","Temp, °F (LGR S/N: 10372220, SEN S/N: 10372220)","Started (LGR S/N: 10372220)","Coupler Attached (LGR S/N: 10372220)","Host Connected (LGR S/N: 10372220)","Coupler Detached (LGR S/N: 10372220)","Stopped (LGR S/N: 10372220)","End Of File (LGR S/N: 10372220)"
1,07/12/13 09:26:48 PM,70.137,Logged,,,,,
2,07/12/13 09:26:50 PM,,,Logged,Logged,,,
3,07/12/13 09:27:02 PM,,,,,Logged,,
4,07/12/13 09:41:48 PM,71.512,,,,,,
5,07/12/13 09:56:48 PM,73.234,,,,,,
6,07/12/13 10:11:48 PM,74.446,,,,,,
7,07/12/13 10:26:48 PM,72.718,,,,,,
8,07/12/13 10:41:48 PM,71.168,,,,,,
9,07/12/13 10:56:48 PM,69.964,,,,,,
10,07/12/13 11:11:48 PM,69.278,,,,,,
11,07/12/13 11:26:48 PM,68.592,,,,,,
12,07/12/13 11:41:48 PM,68.248,,,,,,
13,07/12/13 11:56:48 PM,67.906,,,,,,
14,07/13/13 12:11:48 AM,67.564,,,,,,
15,07/13/13 12:26:48 AM,67.392,,,,,,
16,07/13/13 12:41:48 AM,67.221,,,,,,
17,07/13/13 12:56:48 AM,67.221,,,,,,
18,07/13/13 01:11:48 AM,67.050,,,,,,
19,07/13/13 01:26:48 AM,66.879,,,,,,
20,07/13/13 01:41:48 AM,66.708,,,,,,
21,07/13/13 01:56:48 AM,66.708,,,,,,
22,07/13/13 02:11:48 AM,66.537,,,,,,
23,07/13/13 02:26:48 AM,66.366,,,,,,
24,07/13/13 02:41:48 AM,66.193,,,,,,
25,07/13/13 02:56:48 AM,66.193,,,,,,
26,07/13/13 03:11:48 AM,66.022,,,,,,
27,07/13/13 03:26:48 AM,65.851,,,,,,
28,07/13/13 03:41:48 AM,65.851,,,,,,
29,07/13/13 03:56:48 AM,65.851,,,,,,
30,07/13/13 04:11:48 AM,65.680,,,,,,
31,07/13/13 04:26:48 AM,65.680,,,,,,
32,07/13/13 04:41:48 AM,65.509,,,,,,
33,07/13/13 04:56:48 AM,65.509,,,,,,
34,07/13/13 05:11:48 AM,65.509,,,,,,
35,07/13/13 05:26:48 AM,65.338,,,,,,
36,07/13/13 05:41:48 AM,65.338,,,,,,
37,07/13/13 05:56:48 AM,65.167,,,,,,
38,07/13/13 06:11:48 AM,65.167,,,,,,
