"Plot Title: 10372221"
"#","Date Time, GMT-04:00","Temp, °F (LGR S/N: 10372221, SEN S/N: 10372221)","Started (LGR S/N: 10372221)","Coupler Attached (LGR S/N: 10372221)","Host Connected (LGR S/N: 10372221)","Coupler Detached (LGR S/N: 10372221)","Stopped (LGR S/N: 10372221)","End Of File (LGR S/N: 10372221)"
1,07/12/13 09:28:13 PM,70.824,Logged,,,,,
2,07/12/13 09:29:17 PM,,,Logged,Logged,,,
3,07/12/13 09:29:29 PM,,,,,Logged,,
4,07/12/13 09:43:13 PM,71.683,,,,,,
5,07/12/13 09:58:13 PM,70.651,,,,,,
6,07/12/13 10:13:13 PM,74.619,,,,,,
7,07/12/13 10:28:13 PM,73.234,,,,,,
8,07/12/13 10:43:13 PM,71.856,,,,,,
9,07/12/13 10:58:13 PM,70.824,,,,,,
10,07/12/13 11:13:13 PM,69.964,,,,,,
11,07/12/13 11:28:13 PM,69.449,,,,,,
12,07/12/13 11:43:13 PM,68.934,,,,,,
13,07/12/13 11:58:13 PM,68.592,,,,,,
14,07/13/13 12:13:13 AM,68.248,,,,,,
15,07/13/13 12:28:13 AM,68.077,,,,,,
16,07/13/13 12:43:13 AM,67.735,,,,,,
17,07/13/13 12:58:13 AM,67.735,,,,,,
18,07/13/13 01:13:13 AM,67.564,,,,,,
19,07/13/13 01:28:13 AM,67.392,,,,,,
20,07/13/13 01:43:13 AM,67.050,,,,,,
21,07/13/13 01:58:13 AM,67.050,,,,,,
22,07/13/13 02:13:13 AM,66.879,,,,,,
23,07/13/13 02:28:13 AM,66.708,,,,,,
24,07/13/13 02:43:13 AM,66.537,,,,,,
25,07/13/13 02:58:13 AM,66.366,,,,,,
26,07/13/13 03:13:13 AM,66.366,,,,,,
27,07/13/13 03:28:13 AM,66.193,,,,,,
28,07/13/13 03:43:13 AM,66.022,,,,,,
29,07/13/13 03:58:13 AM,66.022,,,,,,
30,07/13/13 04:13:13 AM,65.851,,,,,,
31,07/13/13 04:28:13 AM,65.851,,,,,,
32,07/13/13 04:43:13 AM,65.680,,,,,,
33,07/13/13 04:58:13 AM,65.680,,,,,,
34,07/13/13 05:13:13 AM,65.680,,,,,,
35,07/13/13 05:28:13 AM,65.509,,,,,,
36,07/13/13 05:43:13 AM,65.509,,,,,,
37,07/13/13 05:58:13 AM,65.338,,,,,,
38,07/13/13 06:13:13 AM,65.338,,,,,,
39,07/13/13 06:28:13 AM,65.167,,,,,,
40,07/13/13 06:43:13 AM,65.338,,,,,,
41,07/13/13 06:58:13 AM,65.338,,,,,,
42,07/13/13 07:13:13 AM,65.509,,,,,,
43,07/13/13 07:28:13 AM,65.680,,,,,,
44,07/13/13 07:43:13 AM,65.851,,,,,,
45,07/13/13 07:58:13 AM,66.193,,,,,,
46,07/13/13 08:13:13 AM,66.366,,,,,,
47,07/13/13 08:28:13 AM,66.879,,,,,,
48,07/13/13 08:43:13 AM,67.735,,,,,,
49,07/13/13 08:58:13 AM,68.592,,,,,,
50,07/13/13 09:13:13 AM,69.107,,,,,,
51,07/13/13 09:28:13 AM,69.793,,,,,,
52,07/13/13 09:43:13 AM,70.308,,,,,,
53,07/13/13 09:58:13 AM,70.824,,,,,,
54,07/13/13 10:13:13 AM,71.168,,,,,,
55,07/13/13 10:28:13 AM,71.512,,,,,,
56,07/13/13 10:43:13 AM,71.683,,,,,,
57,07/13/13 10:58:13 AM,71.856,,,,,,
58,07/13/13 11:13:13 AM,71.856,,,,,,
59,07/13/13 11:28:13 AM,72.028,,,,,,
60,07/13/13 11:43:13 AM,72.028,,,,,,
61,07/13/13 11:58:13 AM,72.199,,,,,,
62,07/13/13 12:13:13 PM,72.372,,,,,,
63,07/13/13 12:28:13 PM,72.545,,,,,,
64,07/13/13 12:43:13 PM,72.891,,,,,,
65,07/13/13 12:58:13 PM,73.234,,,,,,
66,07/13/13 01:13:13 PM,73.580,,,,,,
67,07/13/13 01:28:13 PM,73.753,,,,,,
68,07/13/13 01:43:13 PM,74.098,,,,,,
69,07/13/13 01:58:13 PM,74.446,,,,,,
70,07/13/13 02:13:13 PM,74.791,,,,,,
71,07/13/13 02:28:13 PM,75.139,,,,,,
72,07/13/13 02:43:13 PM,75.484,,,,,,
73,07/13/13 02:58:13 PM,75.832,,,,,,
74,07/13/13 03:13:13 PM,76.006,,,,,,
75,07/13/13 03:28:13 PM,76.181,,,,,,
76,07/13/13 03:43:13 PM,76.354,,,,,,
77,07/13/13 03:58:13 PM,76.354,,,,,,
78,07/13/13 04:13:13 PM,76.354,,,,,,
79,07/13/13 04:28:13 PM,76.528,,,,,,
80,07/13/13 04:43:13 PM,76.703,,,,,,
81,07/13/13 04:58:13 PM,76.703,,,,,,
82,07/13/13 05:13:13 PM,76.703,,,,,,
83,07/13/13 05:28:13 PM,76.703,,,,,,
84,07/13/13 05:43:13 PM,76.528,,,,,,
85,07/13/13 05:58:13 PM,76.354,,,,,,
86,07/13/13 06:13:13 PM,76.354,,,,,,
87,07/13/13 06:28:13 PM,76.354,,,,,,
88,07/13/13 06:43:13 PM,76.354,,,,,,
89,07/13/13 06:58:13 PM,76.354,,,,,,
90,07/13/13 07:13:13 PM,76.354,,,,,,
91,07/13/13 07:28:13 PM,76.181,,,,,,
92,07/13/13 07:43:13 PM,76.006,,,,,,
93,07/13/13 07:58:13 PM,75.832,,,,,,
94,07/13/13 08:13:13 PM,75.659,,,,,,
95,07/13/13 08:28:13 PM,75.312,,,,,,
96,07/13/13 08:43:13 PM,74.791,,,,,,
97,07/13/13 08:58:13 PM,74.446,,,,,,
98,07/13/13 09:13:13 PM,73.753,,,,,,
99,07/13/13 09:28:13 PM,73.062,,,,,,
100,07/13/13 09:43:13 PM,72.372,,,,,,
101,07/13/13 09:58:13 PM,71.856,,,,,,
102,07/13/13 10:13:13 PM,71.512,,,,,,
103,07/13/13 10:28:13 PM,71.339,,,,,,
104,07/13/13 10:43:13 PM,71.168,,,,,,
105,07/13/13 10:58:13 PM,70.995,,,,,,
106,07/13/13 11:13:13 PM,70.651,,,,,,
107,07/13/13 11:28:13 PM,70.137,,,,,,
108,07/13/13 11:43:13 PM,69.793,,,,,,
109,07/13/13 11:58:13 PM,69.449,,,,,,
110,07/14/13 12:13:13 AM,69.278,,,,,,
111,07/14/13 12:28:13 AM,69.107,,,,,,
112,07/14/13 12:43:13 AM,68.934,,,,,,
