"Plot Title: 10442667"
"#","Date Time, GMT-04:00","Temp, °F (LGR S/N: 10442667, SEN S/N: 10442667, LBL: byrneslab_GOM2015)","Host Connected (LGR S/N: 10442667)","Coupler Attached (LGR S/N: 10442667)","Stopped (LGR S/N: 10442667)","End Of File (LGR S/N: 10442667)"
1,15/08/11 15:15:00,74.098,,,,
2,15/08/11 15:45:00,78.975,,,,
3,15/08/11 16:15:00,75.312,,,,
4,15/08/11 16:45:00,73.062,,,,
5,15/08/11 17:15:00,72.372,,,,
6,15/08/11 17:45:00,72.718,,,,
7,15/08/11 18:15:00,72.545,,,,
8,15/08/11 18:45:00,72.372,,,,
9,15/08/11 19:15:00,72.199,,,,
10,15/08/11 19:45:00,72.199,,,,
11,15/08/11 20:15:00,71.856,,,,
12,15/08/11 20:45:00,71.339,,,,
13,15/08/11 21:15:00,70.995,,,,
14,15/08/11 21:45:00,70.480,,,,
15,15/08/11 22:15:00,70.137,,,,
16,15/08/11 22:45:00,69.793,,,,
17,15/08/11 23:15:00,69.449,,,,
18,15/08/11 23:45:00,69.278,,,,
19,15/08/12 00:15:00,69.107,,,,
20,15/08/12 00:45:00,68.934,,,,
21,15/08/12 01:15:00,68.763,,,,
22,15/08/12 01:45:00,68.763,,,,
23,15/08/12 02:15:00,68.592,,,,
24,15/08/12 02:45:00,68.421,,,,
25,15/08/12 03:15:00,68.421,,,,
26,15/08/12 03:45:00,68.248,,,,
27,15/08/12 04:15:00,68.248,,,,
28,15/08/12 04:45:00,68.077,,,,
29,15/08/12 05:15:00,68.077,,,,
30,15/08/12 05:45:00,67.906,,,,
31,15/08/12 06:15:00,67.906,,,,
32,15/08/12 06:45:00,67.735,,,,
33,15/08/12 07:15:00,67.906,,,,
34,15/08/12 07:45:00,68.248,,,,
35,15/08/12 08:15:00,69.278,,,,
36,15/08/12 08:45:00,70.651,,,,
37,15/08/12 09:15:00,72.372,,,,
38,15/08/12 09:45:00,74.271,,,,
39,15/08/12 10:15:00,74.964,,,,
40,15/08/12 10:45:00,75.139,,,,
41,15/08/12 11:15:00,75.139,,,,
42,15/08/12 11:45:00,75.484,,,,
43,15/08/12 12:15:00,76.006,,,,
44,15/08/12 12:45:00,76.876,,,,
45,15/08/12 13:15:00,77.923,,,,
46,15/08/12 13:45:00,78.975,,,,
47,15/08/12 14:15:00,79.853,,,,
48,15/08/12 14:45:00,80.382,,,,
49,15/08/12 15:15:00,80.735,,,,
50,15/08/12 15:45:00,81.266,,,,
51,15/08/12 16:15:00,81.442,,,,
52,15/08/12 16:45:00,81.621,,,,
53,15/08/12 17:15:00,82.152,,,,
54,15/08/12 17:45:00,82.864,,,,
55,15/08/12 18:15:00,84.834,,,,
56,15/08/12 18:45:00,85.194,,,,
57,15/08/12 19:15:00,84.654,,,,
58,15/08/12 19:45:00,83.579,,,,
59,15/08/12 20:15:00,81.975,,,,
60,15/08/12 20:45:00,80.382,,,,
61,15/08/12 21:15:00,78.098,,,,
62,15/08/12 21:45:00,76.703,,,,
63,15/08/12 22:15:00,75.659,,,,
64,15/08/12 22:45:00,74.791,,,,
65,15/08/12 23:15:00,74.098,,,,
66,15/08/12 23:45:00,73.580,,,,
67,15/08/13 00:15:00,72.891,,,,
68,15/08/13 00:45:00,72.372,,,,
69,15/08/13 01:15:00,71.683,,,,
70,15/08/13 01:45:00,70.995,,,,
71,15/08/13 02:15:00,70.480,,,,
72,15/08/13 02:45:00,69.964,,,,
73,15/08/13 03:15:00,69.449,,,,
74,15/08/13 03:45:00,68.934,,,,
75,15/08/13 04:15:00,68.592,,,,
76,15/08/13 04:45:00,68.077,,,,
77,15/08/13 05:15:00,67.735,,,,
78,15/08/13 05:45:00,67.221,,,,
79,15/08/13 06:15:00,66.879,,,,
80,15/08/13 06:45:00,66.708,,,,
81,15/08/13 07:15:00,66.879,,,,
82,15/08/13 07:45:00,67.221,,,,
83,15/08/13 08:15:00,68.077,,,,
84,15/08/13 08:45:00,69.278,,,,
85,15/08/13 09:15:00,70.651,,,,
86,15/08/13 09:45:00,72.372,,,,
87,15/08/13 10:15:00,73.753,,,,
88,15/08/13 10:45:00,74.098,,,,
89,15/08/13 11:15:00,74.098,,,,
90,15/08/13 11:45:00,74.271,,,,
91,15/08/13 12:15:00,74.619,,,,
92,15/08/13 12:45:00,75.312,,,,
93,15/08/13 13:15:00,79.853,,,,
94,15/08/13 13:45:00,87.004,,,,
95,15/08/13 14:15:00,82.152,,,,
96,15/08/13 14:45:00,77.749,,,,
97,15/08/13 15:15:00,75.139,,,,
98,15/08/13 15:45:00,75.139,,,,
99,15/08/13 16:15:00,58.476,,,,
100,15/08/13 16:45:00,58.647,,,,
101,15/08/13 17:15:00,63.111,,,,
102,15/08/13 17:45:00,61.912,,,,
103,15/08/13 18:15:00,63.626,,,,
104,15/08/13 18:45:00,63.111,,,,
105,15/08/13 19:15:00,63.282,,,,
106,15/08/13 19:45:00,63.282,,,,
107,15/08/13 20:15:00,63.111,,,,
108,15/08/13 20:45:00,62.940,,,,
109,15/08/13 21:15:00,62.940,,,,
110,15/08/13 21:45:00,60.883,,,,
111,15/08/13 22:15:00,61.398,,,,
112,15/08/13 22:45:00,62.598,,,,
113,15/08/13 23:15:00,62.940,,,,
114,15/08/13 23:45:00,61.912,,,,
115,15/08/14 00:15:00,59.680,,,,
116,15/08/14 00:45:00,58.820,,,,
117,15/08/14 01:15:00,58.476,,,,
118,15/08/14 01:45:00,57.958,,,,
119,15/08/14 02:15:00,58.303,,,,
120,15/08/14 02:45:00,58.993,,,,
121,15/08/14 03:15:00,58.820,,,,
122,15/08/14 03:45:00,58.993,,,,
123,15/08/14 04:15:00,58.993,,,,
124,15/08/14 04:45:00,58.131,,,,
125,15/08/14 05:15:00,57.785,,,,
126,15/08/14 05:45:00,57.614,,,,
127,15/08/14 06:15:00,58.476,,,,
128,15/08/14 06:45:00,58.993,,,,
129,15/08/14 07:15:00,61.054,,,,
130,15/08/14 07:45:00,61.227,,,,
131,15/08/14 08:15:00,59.851,,,,
132,15/08/14 08:45:00,60.883,,,,
133,15/08/14 09:15:00,61.054,,,,
134,15/08/14 09:45:00,60.368,,,,
135,15/08/14 10:15:00,59.851,,,,
136,15/08/14 10:45:00,60.712,,,,
137,15/08/14 11:15:00,60.024,,,,
138,15/08/14 11:45:00,60.368,,,,
139,15/08/14 12:15:00,60.712,,,,
140,15/08/14 12:45:00,61.227,,,,
141,15/08/14 13:15:00,61.569,,,,
142,15/08/14 13:45:00,61.741,,,,
143,15/08/14 14:15:00,61.227,,,,
144,15/08/14 14:45:00,60.539,,,,
145,15/08/14 15:15:00,59.680,,,,
146,15/08/14 15:45:00,60.539,,,,
147,15/08/14 16:15:00,61.227,,,,
148,15/08/14 16:45:00,59.851,,,,
149,15/08/14 17:15:00,60.024,,,,
150,15/08/14 17:45:00,59.680,,,,
151,15/08/14 18:15:00,58.993,,,,
152,15/08/14 18:45:00,58.993,,,,
153,15/08/14 19:15:00,60.539,,,,
154,15/08/14 19:45:00,61.741,,,,
155,15/08/14 20:15:00,60.368,,,,
156,15/08/14 20:45:00,60.368,,,,
157,15/08/14 21:15:00,62.083,,,,
158,15/08/14 21:45:00,62.940,,,,
159,15/08/14 22:15:00,62.940,,,,
160,15/08/14 22:45:00,63.111,,,,
161,15/08/14 23:15:00,62.940,,,,
162,15/08/14 23:45:00,62.598,,,,
163,15/08/15 00:15:00,62.769,,,,
164,15/08/15 00:45:00,62.940,,,,
165,15/08/15 01:15:00,62.254,,,,
166,15/08/15 01:45:00,61.912,,,,
167,15/08/15 02:15:00,61.054,,,,
168,15/08/15 02:45:00,60.195,,,,
169,15/08/15 03:15:00,57.785,,,,
170,15/08/15 03:45:00,58.993,,,,
171,15/08/15 04:15:00,58.993,,,,
172,15/08/15 04:45:00,58.647,,,,
173,15/08/15 05:15:00,59.508,,,,
174,15/08/15 05:45:00,60.368,,,,
175,15/08/15 06:15:00,61.569,,,,
176,15/08/15 06:45:00,62.083,,,,
177,15/08/15 07:15:00,61.912,,,,
178,15/08/15 07:45:00,62.425,,,,
179,15/08/15 08:15:00,61.912,,,,
180,15/08/15 08:45:00,60.883,,,,
181,15/08/15 09:15:00,61.398,,,,
182,15/08/15 09:45:00,61.227,,,,
183,15/08/15 10:15:00,61.741,,,,
184,15/08/15 10:45:00,62.254,,,,
185,15/08/15 11:15:00,62.425,,,,
186,15/08/15 11:45:00,61.227,,,,
187,15/08/15 12:15:00,61.054,,,,
188,15/08/15 12:45:00,60.368,,,,
189,15/08/15 13:15:00,61.912,,,,
190,15/08/15 13:45:00,61.227,,,,
191,15/08/15 14:15:00,61.741,,,,
192,15/08/15 14:45:00,60.195,,,,
193,15/08/15 15:15:00,59.508,,,,
194,15/08/15 15:45:00,60.024,,,,
195,15/08/15 16:15:00,59.851,,,,
196,15/08/15 16:45:00,59.164,,,,
197,15/08/15 17:15:00,59.680,,,,
198,15/08/15 17:45:00,61.569,,,,
199,15/08/15 18:15:00,61.227,,,,
200,15/08/15 18:45:00,61.741,,,,
201,15/08/15 19:15:00,60.195,,,,
202,15/08/15 19:45:00,59.680,,,,
203,15/08/15 20:15:00,60.195,,,,
204,15/08/15 20:45:00,61.054,,,,
205,15/08/15 21:15:00,60.712,,,,
206,15/08/15 21:45:00,61.398,,,,
207,15/08/15 22:15:00,61.912,,,,
208,15/08/15 22:45:00,62.769,,,,
209,15/08/15 23:15:00,63.455,,,,
210,15/08/15 23:45:00,63.968,,,,
211,15/08/16 00:15:00,63.282,,,,
212,15/08/16 00:45:00,62.598,,,,
213,15/08/16 01:15:00,62.083,,,,
214,15/08/16 01:45:00,61.912,,,,
215,15/08/16 02:15:00,61.912,,,,
216,15/08/16 02:45:00,61.398,,,,
217,15/08/16 03:15:00,61.741,,,,
218,15/08/16 03:45:00,61.741,,,,
219,15/08/16 04:15:00,60.883,,,,
220,15/08/16 04:45:00,59.851,,,,
221,15/08/16 05:15:00,59.508,,,,
222,15/08/16 05:45:00,59.680,,,,
223,15/08/16 06:15:00,58.647,,,,
224,15/08/16 06:45:00,58.820,,,,
225,15/08/16 07:15:00,57.958,,,,
226,15/08/16 07:45:00,58.820,,,,
227,15/08/16 08:15:00,60.712,,,,
228,15/08/16 08:45:00,61.227,,,,
229,15/08/16 09:15:00,61.569,,,,
230,15/08/16 09:45:00,62.598,,,,
231,15/08/16 10:15:00,60.368,,,,
232,15/08/16 10:45:00,58.131,,,,
233,15/08/16 11:15:00,58.993,,,,
234,15/08/16 11:45:00,59.851,,,,
235,15/08/16 12:15:00,60.368,,,,
236,15/08/16 12:45:00,60.368,,,,
237,15/08/16 13:15:00,61.227,,,,
238,15/08/16 13:45:00,61.569,,,,
239,15/08/16 14:15:00,61.227,,,,
240,15/08/16 14:45:00,61.054,,,,
241,15/08/16 15:15:00,60.195,,,,
242,15/08/16 15:45:00,60.368,,,,
243,15/08/16 16:15:00,59.680,,,,
244,15/08/16 16:45:00,59.337,,,,
245,15/08/16 17:15:00,60.539,,,,
246,15/08/16 17:45:00,63.111,,,,
247,15/08/16 18:15:00,60.883,,,,
248,15/08/16 18:45:00,61.054,,,,
249,15/08/16 19:15:00,60.539,,,,
250,15/08/16 19:45:00,59.680,,,,
251,15/08/16 20:15:00,59.508,,,,
252,15/08/16 20:45:00,59.508,,,,
253,15/08/16 21:15:00,60.539,,,,
254,15/08/16 21:45:00,60.883,,,,
255,15/08/16 22:15:00,61.569,,,,
256,15/08/16 22:45:00,62.425,,,,
257,15/08/16 23:15:00,63.455,,,,
258,15/08/16 23:45:00,63.111,,,,
259,15/08/17 00:15:00,62.598,,,,
260,15/08/17 00:45:00,64.310,,,,
261,15/08/17 01:15:00,64.652,,,,
262,15/08/17 01:45:00,63.968,,,,
263,15/08/17 02:15:00,63.968,,,,
264,15/08/17 02:45:00,62.940,,,,
265,15/08/17 03:15:00,59.851,,,,
266,15/08/17 03:45:00,60.195,,,,
267,15/08/17 04:15:00,60.712,,,,
268,15/08/17 04:45:00,61.398,,,,
269,15/08/17 05:15:00,60.539,,,,
270,15/08/17 05:45:00,59.851,,,,
271,15/08/17 06:15:00,59.508,,,,
272,15/08/17 06:45:00,58.303,,,,
273,15/08/17 07:15:00,59.337,,,,
274,15/08/17 07:45:00,58.647,,,,
275,15/08/17 08:15:00,58.647,,,,
276,15/08/17 08:45:00,58.993,,,,
277,15/08/17 09:15:00,59.680,,,,
278,15/08/17 09:45:00,59.851,,,,
