"Plot Title: 10442668"
"#","Date Time, GMT-04:00","Temp, °F (LGR S/N: 10442668, SEN S/N: 10442668, LBL: byrneslab_GOM2015)","Coupler Attached (LGR S/N: 10442668)","Host Connected (LGR S/N: 10442668)","Stopped (LGR S/N: 10442668)","End Of File (LGR S/N: 10442668)"
1,15/08/11 15:00:00,78.624,,,,
2,15/08/11 15:30:00,81.266,,,,
3,15/08/11 16:00:00,74.619,,,,
4,15/08/11 16:30:00,72.718,,,,
5,15/08/11 17:00:00,72.372,,,,
6,15/08/11 17:30:00,72.372,,,,
7,15/08/11 18:00:00,72.199,,,,
8,15/08/11 18:30:00,71.856,,,,
9,15/08/11 19:00:00,71.856,,,,
10,15/08/11 19:30:00,71.856,,,,
11,15/08/11 20:00:00,71.512,,,,
12,15/08/11 20:30:00,71.168,,,,
13,15/08/11 21:00:00,70.824,,,,
14,15/08/11 21:30:00,70.480,,,,
15,15/08/11 22:00:00,70.137,,,,
16,15/08/11 22:30:00,69.793,,,,
17,15/08/11 23:00:00,69.449,,,,
18,15/08/11 23:30:00,69.278,,,,
19,15/08/12 00:00:00,69.107,,,,
20,15/08/12 00:30:00,68.934,,,,
21,15/08/12 01:00:00,68.763,,,,
22,15/08/12 01:30:00,68.763,,,,
23,15/08/12 02:00:00,68.592,,,,
24,15/08/12 02:30:00,68.592,,,,
25,15/08/12 03:00:00,68.421,,,,
26,15/08/12 03:30:00,68.421,,,,
27,15/08/12 04:00:00,68.248,,,,
28,15/08/12 04:30:00,68.077,,,,
29,15/08/12 05:00:00,68.077,,,,
30,15/08/12 05:30:00,67.906,,,,
31,15/08/12 06:00:00,67.906,,,,
32,15/08/12 06:30:00,67.735,,,,
33,15/08/12 07:00:00,67.735,,,,
34,15/08/12 07:30:00,67.906,,,,
35,15/08/12 08:00:00,68.421,,,,
36,15/08/12 08:30:00,69.793,,,,
37,15/08/12 09:00:00,71.339,,,,
38,15/08/12 09:30:00,73.234,,,,
39,15/08/12 10:00:00,74.446,,,,
40,15/08/12 10:30:00,74.619,,,,
41,15/08/12 11:00:00,74.446,,,,
42,15/08/12 11:30:00,74.619,,,,
43,15/08/12 12:00:00,74.964,,,,
44,15/08/12 12:30:00,75.484,,,,
45,15/08/12 13:00:00,76.181,,,,
46,15/08/12 13:30:00,77.050,,,,
47,15/08/12 14:00:00,77.923,,,,
48,15/08/12 14:30:00,78.449,,,,
49,15/08/12 15:00:00,78.800,,,,
50,15/08/12 15:30:00,79.151,,,,
51,15/08/12 16:00:00,79.502,,,,
52,15/08/12 16:30:00,79.678,,,,
53,15/08/12 17:00:00,80.206,,,,
54,15/08/12 17:30:00,80.735,,,,
55,15/08/12 18:00:00,81.442,,,,
56,15/08/12 18:30:00,82.508,,,,
57,15/08/12 19:00:00,82.864,,,,
58,15/08/12 19:30:00,82.686,,,,
59,15/08/12 20:00:00,81.621,,,,
60,15/08/12 20:30:00,80.206,,,,
61,15/08/12 21:00:00,78.800,,,,
62,15/08/12 21:30:00,77.400,,,,
63,15/08/12 22:00:00,76.528,,,,
64,15/08/12 22:30:00,75.659,,,,
65,15/08/12 23:00:00,74.964,,,,
