"Plot Title: 10372225"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10372225, SEN S/N: 10372225, LBL: byrneslab_GOM2016)","End Of File (LGR S/N: 10372225)"
1,08/07/16 09:00:00 PM,25.125,
2,08/07/16 09:15:00 PM,24.835,
3,08/07/16 09:30:00 PM,24.448,
4,08/07/16 09:45:00 PM,24.158,
5,08/07/16 10:00:00 PM,23.869,
6,08/07/16 10:15:00 PM,23.581,
7,08/07/16 10:30:00 PM,23.292,
8,08/07/16 10:45:00 PM,23.004,
9,08/07/16 11:00:00 PM,22.908,
10,08/07/16 11:15:00 PM,22.908,
11,08/07/16 11:30:00 PM,22.908,
12,08/07/16 11:45:00 PM,22.812,
13,08/08/16 12:00:00 AM,22.717,
14,08/08/16 12:15:00 AM,22.621,
15,08/08/16 12:30:00 AM,22.525,
16,08/08/16 12:45:00 AM,22.429,
17,08/08/16 01:00:00 AM,22.429,
18,08/08/16 01:15:00 AM,22.333,
19,08/08/16 01:30:00 AM,22.238,
20,08/08/16 01:45:00 AM,22.142,
21,08/08/16 02:00:00 AM,22.046,
22,08/08/16 02:15:00 AM,22.046,
23,08/08/16 02:30:00 AM,21.951,
24,08/08/16 02:45:00 AM,21.855,
25,08/08/16 03:00:00 AM,21.760,
26,08/08/16 03:15:00 AM,21.473,
27,08/08/16 03:30:00 AM,21.091,
28,08/08/16 03:45:00 AM,20.805,
29,08/08/16 04:00:00 AM,20.615,
30,08/08/16 04:15:00 AM,20.519,
31,08/08/16 04:30:00 AM,20.519,
32,08/08/16 04:45:00 AM,20.519,
33,08/08/16 05:00:00 AM,20.519,
34,08/08/16 05:15:00 AM,20.424,
35,08/08/16 05:30:00 AM,20.329,
36,08/08/16 05:45:00 AM,20.234,
37,08/08/16 06:00:00 AM,20.138,
38,08/08/16 06:15:00 AM,19.948,
39,08/08/16 06:30:00 AM,19.853,
40,08/08/16 06:45:00 AM,19.853,
41,08/08/16 07:00:00 AM,19.758,
42,08/08/16 07:15:00 AM,19.662,
43,08/08/16 07:30:00 AM,19.662,
44,08/08/16 07:45:00 AM,19.472,
45,08/08/16 08:00:00 AM,19.377,
46,08/08/16 08:15:00 AM,19.282,
47,08/08/16 08:30:00 AM,19.282,
48,08/08/16 08:45:00 AM,19.377,
49,08/08/16 09:00:00 AM,19.377,
50,08/08/16 09:15:00 AM,19.472,
51,08/08/16 09:30:00 AM,20.043,
52,08/08/16 09:45:00 AM,20.901,
53,08/08/16 10:00:00 AM,20.996,
54,08/08/16 10:15:00 AM,20.996,
55,08/08/16 10:30:00 AM,20.901,
56,08/08/16 10:45:00 AM,20.996,
57,08/08/16 11:00:00 AM,21.091,
58,08/08/16 11:15:00 AM,21.378,
59,08/08/16 11:30:00 AM,21.664,
60,08/08/16 11:45:00 AM,21.760,
61,08/08/16 12:00:00 PM,21.951,
62,08/08/16 12:15:00 PM,22.142,
63,08/08/16 12:30:00 PM,22.238,
64,08/08/16 12:45:00 PM,22.429,
65,08/08/16 01:00:00 PM,22.621,
66,08/08/16 01:15:00 PM,22.812,
67,08/08/16 01:30:00 PM,23.004,
68,08/08/16 01:45:00 PM,23.196,
69,08/08/16 02:00:00 PM,23.388,
70,08/08/16 02:15:00 PM,23.484,
71,08/08/16 02:30:00 PM,23.966,
72,08/08/16 02:45:00 PM,24.448,
73,08/08/16 03:00:00 PM,24.738,
74,08/08/16 03:15:00 PM,24.738,
75,08/08/16 03:30:00 PM,24.835,
76,08/08/16 03:45:00 PM,25.125,
77,08/08/16 04:00:00 PM,25.513,
78,08/08/16 04:15:00 PM,25.708,
79,08/08/16 04:30:00 PM,25.805,
80,08/08/16 04:45:00 PM,26.097,
81,08/08/16 05:00:00 PM,26.292,
82,08/08/16 05:15:00 PM,26.488,
83,08/08/16 05:30:00 PM,26.585,
84,08/08/16 05:45:00 PM,26.683,
85,08/08/16 06:00:00 PM,26.585,
86,08/08/16 06:15:00 PM,26.585,
87,08/08/16 06:30:00 PM,26.585,
88,08/08/16 06:45:00 PM,26.488,
89,08/08/16 07:00:00 PM,26.292,
90,08/08/16 07:15:00 PM,26.097,
91,08/08/16 07:30:00 PM,25.708,
92,08/08/16 07:45:00 PM,25.125,
93,08/08/16 08:00:00 PM,24.448,
94,08/08/16 08:15:00 PM,24.158,
95,08/08/16 08:30:00 PM,23.773,
96,08/08/16 08:45:00 PM,23.581,
97,08/08/16 09:00:00 PM,23.292,
98,08/08/16 09:15:00 PM,23.100,
99,08/08/16 09:30:00 PM,23.004,
100,08/08/16 09:45:00 PM,22.908,
101,08/08/16 10:00:00 PM,22.908,
102,08/08/16 10:15:00 PM,22.812,
103,08/08/16 10:30:00 PM,22.717,
104,08/08/16 10:45:00 PM,22.621,
105,08/08/16 11:00:00 PM,22.333,
106,08/08/16 11:15:00 PM,22.238,
107,08/08/16 11:30:00 PM,22.142,
108,08/08/16 11:45:00 PM,22.142,
109,08/09/16 12:00:00 AM,21.951,
110,08/09/16 12:15:00 AM,21.951,
111,08/09/16 12:30:00 AM,21.951,
112,08/09/16 12:45:00 AM,21.760,
113,08/09/16 01:00:00 AM,21.473,
114,08/09/16 01:15:00 AM,21.473,
115,08/09/16 01:30:00 AM,21.473,
116,08/09/16 01:45:00 AM,21.473,
117,08/09/16 02:00:00 AM,21.473,
118,08/09/16 02:15:00 AM,21.378,
119,08/09/16 02:30:00 AM,21.378,
120,08/09/16 02:45:00 AM,21.282,
121,08/09/16 03:00:00 AM,21.187,
122,08/09/16 03:15:00 AM,21.091,
123,08/09/16 03:30:00 AM,20.996,
124,08/09/16 03:45:00 AM,20.996,
125,08/09/16 04:00:00 AM,20.901,
126,08/09/16 04:15:00 AM,20.805,
127,08/09/16 04:30:00 AM,20.710,
128,08/09/16 04:45:00 AM,20.519,
129,08/09/16 05:00:00 AM,20.424,
130,08/09/16 05:15:00 AM,20.519,
131,08/09/16 05:30:00 AM,20.710,
132,08/09/16 05:45:00 AM,20.805,
133,08/09/16 06:00:00 AM,20.901,
134,08/09/16 06:15:00 AM,20.996,
135,08/09/16 06:30:00 AM,21.091,
136,08/09/16 06:45:00 AM,21.091,
137,08/09/16 07:00:00 AM,20.901,
138,08/09/16 07:15:00 AM,20.615,
139,08/09/16 07:30:00 AM,20.424,
140,08/09/16 07:45:00 AM,20.234,
141,08/09/16 08:00:00 AM,20.329,
142,08/09/16 08:15:00 AM,20.424,
143,08/09/16 08:30:00 AM,20.424,
144,08/09/16 08:45:00 AM,20.519,
145,08/09/16 09:00:00 AM,20.519,
146,08/09/16 09:15:00 AM,20.615,
147,08/09/16 09:30:00 AM,20.710,
148,08/09/16 09:45:00 AM,20.710,
149,08/09/16 10:00:00 AM,20.710,
150,08/09/16 10:15:00 AM,20.805,
151,08/09/16 10:30:00 AM,20.805,
152,08/09/16 10:45:00 AM,20.901,
153,08/09/16 11:00:00 AM,20.996,
154,08/09/16 11:15:00 AM,21.091,
155,08/09/16 11:30:00 AM,21.091,
156,08/09/16 11:45:00 AM,21.187,
157,08/09/16 12:00:00 PM,21.282,
158,08/09/16 12:15:00 PM,21.378,
159,08/09/16 12:30:00 PM,21.569,
160,08/09/16 12:45:00 PM,21.664,
161,08/09/16 01:00:00 PM,21.855,
162,08/09/16 01:15:00 PM,21.951,
163,08/09/16 01:30:00 PM,22.046,
164,08/09/16 01:45:00 PM,22.142,
165,08/09/16 02:00:00 PM,22.238,
166,08/09/16 02:15:00 PM,22.429,
167,08/09/16 02:30:00 PM,22.525,
168,08/09/16 02:45:00 PM,22.717,
169,08/09/16 03:00:00 PM,22.908,
170,08/09/16 03:15:00 PM,23.196,
171,08/09/16 03:30:00 PM,23.292,
172,08/09/16 03:45:00 PM,23.484,
173,08/09/16 04:00:00 PM,23.484,
174,08/09/16 04:15:00 PM,23.581,
175,08/09/16 04:30:00 PM,23.677,
176,08/09/16 04:45:00 PM,23.773,
177,08/09/16 05:00:00 PM,23.869,
178,08/09/16 05:15:00 PM,24.062,
179,08/09/16 05:30:00 PM,24.062,
180,08/09/16 05:45:00 PM,24.351,
181,08/09/16 06:00:00 PM,24.545,
182,08/09/16 06:15:00 PM,24.641,
183,08/09/16 06:30:00 PM,24.738,
184,08/09/16 06:45:00 PM,24.738,
185,08/09/16 07:00:00 PM,24.448,
186,08/09/16 07:15:00 PM,24.351,
187,08/09/16 07:30:00 PM,24.255,
188,08/09/16 07:45:00 PM,24.158,
189,08/09/16 08:00:00 PM,24.062,
190,08/09/16 08:15:00 PM,24.062,
191,08/09/16 08:30:00 PM,23.966,
192,08/09/16 08:45:00 PM,23.869,
193,08/09/16 09:00:00 PM,23.869,
194,08/09/16 09:15:00 PM,23.773,
195,08/09/16 09:30:00 PM,23.581,
196,08/09/16 09:45:00 PM,23.484,
197,08/09/16 10:00:00 PM,23.388,
198,08/09/16 10:15:00 PM,23.196,
199,08/09/16 10:30:00 PM,23.004,
200,08/09/16 10:45:00 PM,22.812,
201,08/09/16 11:00:00 PM,22.525,
202,08/09/16 11:15:00 PM,22.333,
203,08/09/16 11:30:00 PM,22.238,
204,08/09/16 11:45:00 PM,22.238,
205,08/10/16 12:00:00 AM,21.951,
206,08/10/16 12:15:00 AM,21.760,
207,08/10/16 12:30:00 AM,21.664,
208,08/10/16 12:45:00 AM,21.378,
209,08/10/16 01:00:00 AM,21.187,
210,08/10/16 01:15:00 AM,21.091,
211,08/10/16 01:30:00 AM,21.091,
212,08/10/16 01:45:00 AM,21.091,
213,08/10/16 02:00:00 AM,20.996,
214,08/10/16 02:15:00 AM,20.901,
215,08/10/16 02:30:00 AM,20.805,
216,08/10/16 02:45:00 AM,20.710,
217,08/10/16 03:00:00 AM,20.710,
218,08/10/16 03:15:00 AM,20.710,
219,08/10/16 03:30:00 AM,20.519,
220,08/10/16 03:45:00 AM,20.424,
221,08/10/16 04:00:00 AM,20.424,
222,08/10/16 04:15:00 AM,20.234,
223,08/10/16 04:30:00 AM,20.329,
224,08/10/16 04:45:00 AM,20.329,
225,08/10/16 05:00:00 AM,20.424,
226,08/10/16 05:15:00 AM,20.424,
227,08/10/16 05:30:00 AM,20.424,
228,08/10/16 05:45:00 AM,20.424,
